,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed,Current Discription
228,nantucket,90,US,1626374442,88,84.54,41.2835,-70.0995,10.36,mist
229,sibolga,23,ID,1626374666,78,75.49,1.7427,98.7792,3.44,few clouds
230,vanimo,99,PG,1626374667,89,77.79,-2.6741,141.3028,0.45,overcast clouds
231,vardo,0,NO,1626374667,82,64.6,70.3705,31.1107,14.97,clear sky
232,banda aceh,59,ID,1626374668,79,78.76,5.5577,95.3222,8.39,light rain
233,panaba,71,MX,1626374668,36,97.29,21.2833,-88.2667,16.22,broken clouds
234,maniitsoq,1,GL,1626374668,85,48.06,65.4167,-52.9,8.9,clear sky
235,phonhong,100,LA,1626374669,94,74.88,18.5007,102.4166,1.95,overcast clouds
236,manggar,100,ID,1626374669,75,79.86,-2.8833,108.2667,9.8,overcast clouds
237,kongolo,100,CD,1626374670,36,83.08,-5.3833,27.0,2.91,overcast clouds
238,usinsk,13,RU,1626374670,80,56.62,65.9939,57.5281,10.09,few clouds
239,avarua,75,CK,1626374670,94,71.65,-21.2078,-159.775,2.3,broken clouds
240,camopi,68,GF,1626374671,82,79.86,3.1655,-52.3158,4.83,moderate rain
241,mbandaka,100,CD,1626374671,50,77.76,0.0487,18.2603,3.6,overcast clouds
242,faanui,45,PF,1626374672,71,79.77,-16.4833,-151.75,19.82,scattered clouds
243,marzuq,100,YE,1626374672,62,79.57,14.4,46.4667,8.97,overcast clouds
244,banjar,14,ID,1626374672,83,78.66,-8.19,114.9675,6.67,few clouds
245,copiapo,0,CL,1626374673,32,55.09,-27.3667,-70.3333,6.06,clear sky
246,hengshui,57,CN,1626374673,86,78.3,37.7322,115.7011,6.4,broken clouds
247,dongsheng,47,CN,1626374674,60,73.22,39.8161,109.9776,10.58,scattered clouds
248,lar,100,IN,1626374674,68,86.4,26.2039,83.9717,10.69,overcast clouds
249,sao filipe,25,CV,1626374675,83,75.36,14.8961,-24.4956,9.93,scattered clouds
250,la rioja,6,ES,1626374573,63,65.98,42.25,-2.5,5.17,clear sky
251,palu,100,ID,1626374675,99,75.27,-0.8917,119.8707,0.92,moderate rain
252,half moon bay,20,US,1626374673,72,79.92,37.4636,-122.4286,12.66,few clouds
253,kavieng,100,PG,1626374676,76,82.62,-2.5744,150.7967,10.94,overcast clouds
254,coquimbo,20,CL,1626374676,71,56.93,-29.9533,-71.3436,11.5,few clouds
255,college,40,US,1626374677,76,70.2,64.8569,-147.8028,0.0,scattered clouds
256,dergachi,6,RU,1626374677,51,72.84,51.2328,48.7659,6.29,clear sky
257,fenoarivo,20,MG,1626374678,93,51.87,-18.933,47.4354,2.3,few clouds
258,seydisehir,0,TR,1626374678,38,67.96,37.4193,31.8453,4.23,clear sky
259,yichang,100,CN,1626374678,90,79.27,30.7144,111.2847,2.46,light rain
260,zverinogolovskoye,100,RU,1626374679,94,48.85,54.4586,64.8542,9.19,light rain
261,inhambane,0,MZ,1626374679,72,62.58,-23.865,35.3833,5.01,clear sky
262,norman wells,75,CA,1626374679,53,46.44,65.282,-126.8329,13.8,shower rain
263,santa maria da boa vista,16,BR,1626374680,35,86.88,-8.8078,-39.8256,11.63,few clouds
264,andenes,75,NO,1626374680,71,55.38,69.3143,16.1194,17.27,light intensity shower rain
265,tall kayf,0,TR,1626374681,25,90.79,37.0833,41.0667,2.3,clear sky
266,palmas,0,BR,1626374655,45,89.47,-10.2128,-48.3603,9.22,clear sky
267,zhanaozen,72,KZ,1626374681,33,83.16,43.3,52.8,12.68,broken clouds
268,north bend,90,US,1626374682,82,70.95,43.4065,-124.2243,9.22,overcast clouds
269,mount isa,5,AU,1626374682,73,67.77,-20.7333,139.5,1.14,clear sky
270,fortuna,90,US,1626374683,96,55.65,40.5982,-124.1573,8.05,overcast clouds
271,araouane,10,ML,1626374683,23,100.71,18.9048,-3.5265,8.81,clear sky
272,dwarka,100,IN,1626374684,82,84.18,22.2394,68.9678,7.87,overcast clouds
273,port-cartier,90,CA,1626374684,62,71.74,50.0334,-66.8654,13.22,overcast clouds
274,hirado,97,JP,1626374684,80,79.36,33.3597,129.5531,5.37,overcast clouds
275,villazon,0,BO,1626374685,10,61.09,-22.0866,-65.5942,23.98,clear sky
276,tuatapere,67,NZ,1626374685,95,41.83,-46.1333,167.6833,5.84,broken clouds
277,berlin,0,DE,1626374502,72,78.98,52.5244,13.4105,4.0,clear sky
278,ninghai,100,CN,1626374686,96,82.08,29.2892,121.4247,3.74,overcast clouds
279,high rock,5,BS,1626374686,70,80.62,26.6208,-78.2833,16.15,clear sky
280,sassandra,99,CI,1626374686,84,76.3,4.95,-6.0833,7.27,overcast clouds
281,gaurela,100,IN,1626374687,79,76.41,22.75,81.9,5.03,overcast clouds
282,ankpa,100,NG,1626374687,91,74.1,7.3706,7.6253,4.12,overcast clouds
283,aykhal,0,RU,1626374688,61,49.55,66.0,111.5,5.86,clear sky
284,cayhagan,100,PH,1626374688,84,78.44,9.6697,122.4256,4.34,light rain
285,grindavik,90,IS,1626374437,100,54.55,63.8424,-22.4338,19.57,light intensity drizzle
286,antofagasta,26,CL,1626374553,75,60.08,-23.65,-70.4,9.22,scattered clouds
287,vallenar,0,CL,1626374689,25,72.28,-28.5708,-70.7581,5.12,clear sky
288,negombo,40,LK,1626374611,83,82.45,7.2083,79.8358,5.75,scattered clouds
289,portland,75,US,1626374405,52,76.1,45.5234,-122.6762,1.01,broken clouds
290,sambava,99,MG,1626374690,80,69.73,-14.2667,50.1667,12.84,overcast clouds
291,fort nelson,75,CA,1626374690,58,56.79,58.8053,-122.7002,18.41,broken clouds
292,san jeronimo,4,PE,1626374691,31,65.16,-11.9472,-75.2829,1.77,clear sky
293,chumikan,42,RU,1626374691,86,56.73,54.7183,135.315,1.63,scattered clouds
294,ushtobe,100,KZ,1626374691,41,69.58,45.2514,77.9838,6.29,overcast clouds
295,klyuchevskiy,13,RU,1626374692,97,55.22,53.5317,119.4519,2.59,few clouds
296,havoysund,100,NO,1626374538,97,59.23,70.9963,24.6622,20.69,moderate rain
297,coihaique,100,CL,1626374692,99,43.41,-45.5752,-72.0662,6.33,light rain
298,goya,64,AR,1626374466,56,63.79,-29.14,-59.2626,7.11,broken clouds
299,kuah,20,MY,1626374693,83,80.6,6.3265,99.8432,4.61,few clouds
300,rensvik,75,NO,1626374693,62,60.46,63.1,7.8167,19.57,broken clouds
301,shache,23,CN,1626374694,25,82.09,38.4167,77.2406,8.3,few clouds
302,ormstown,14,CA,1626374694,41,87.84,45.1334,-73.9992,7.47,few clouds
303,conceicao do araguaia,9,BR,1626374661,22,96.58,-8.2578,-49.2647,3.87,clear sky
304,pobe,96,BJ,1626374695,90,75.13,6.9801,2.6649,6.78,light rain
305,les cayes,16,HT,1626374695,66,84.36,18.2,-73.75,12.17,few clouds
306,airai,93,TL,1626374696,83,56.37,-8.9266,125.4092,2.66,overcast clouds
307,xingyi,100,CN,1626374696,95,61.27,24.1877,102.817,3.02,overcast clouds
308,sola,40,VU,1626374697,83,79.47,-13.8833,167.55,9.22,scattered clouds
309,comodoro rivadavia,0,AR,1626374697,50,49.86,-45.8667,-67.5,14.97,clear sky
310,hearst,99,CA,1626374697,30,76.46,49.6835,-83.6665,6.4,overcast clouds
311,santa isabel,85,BR,1626374698,31,83.77,-23.3156,-46.2214,8.52,overcast clouds
312,motzorongo,99,MX,1626374698,81,74.44,18.6333,-96.7333,2.71,overcast clouds
313,berlevag,75,NO,1626374699,77,68.0,70.8578,29.0864,11.5,light rain
314,oranjemund,0,NA,1626374699,45,57.27,-28.55,16.4333,8.39,clear sky
315,aasiaat,37,GL,1626374699,89,37.69,68.7098,-52.8699,8.1,scattered clouds
316,bombay,75,IN,1626374542,100,80.58,19.0144,72.8479,0.0,haze
317,mwense,0,ZM,1626374700,36,68.11,-10.3845,28.698,6.17,clear sky
318,port lincoln,1,AU,1626374701,79,52.7,-34.7333,135.8667,28.59,clear sky
319,semey,0,KZ,1626374473,76,50.22,50.4111,80.2275,4.47,clear sky
320,carnarvon,83,AU,1626374701,65,57.27,-24.8667,113.6333,11.5,broken clouds
321,saint-pierre,40,RE,1626374702,68,71.28,-21.3393,55.4781,12.66,scattered clouds
322,dharchula,100,IN,1626374704,96,73.72,29.85,80.5333,0.18,overcast clouds
323,frolovo,95,RU,1626374705,63,73.51,49.7713,43.6622,7.27,overcast clouds
324,chuy,2,UY,1626374705,78,57.97,-33.6971,-53.4616,7.27,clear sky
325,nanakuli,1,US,1626374705,61,80.55,21.3906,-158.1547,6.91,clear sky
326,altay,13,CN,1626374706,52,64.31,47.8667,88.1167,5.35,few clouds
327,riachao das neves,70,BR,1626374706,22,90.81,-11.7461,-44.91,4.23,broken clouds
328,kardla,7,EE,1626374707,82,71.11,58.9978,22.7492,3.69,clear sky
329,perth,75,AU,1626374698,95,58.17,-31.9333,115.8333,5.75,broken clouds
330,trincomalee,100,LK,1626374707,73,81.36,8.5711,81.2335,9.17,overcast clouds
331,monster,90,NL,1626374708,84,66.94,52.0258,4.175,10.0,overcast clouds
332,henties bay,0,NA,1626374708,53,61.86,-22.116,14.2845,8.57,clear sky
333,bellmead,40,US,1626374709,61,90.09,31.594,-97.1089,12.66,scattered clouds
334,kurchum,68,KZ,1626374477,38,68.13,48.5722,83.6542,7.61,broken clouds
335,hay river,90,CA,1626374537,94,55.36,60.8156,-115.7999,9.22,light intensity drizzle
336,kempele,90,FI,1626374709,73,69.82,64.9131,25.5034,10.36,overcast clouds
337,imbituba,100,BR,1626374688,94,66.09,-28.24,-48.6703,10.02,moderate rain
338,yulara,0,AU,1626374710,50,51.64,-25.2406,130.9889,8.05,clear sky
339,richards bay,0,ZA,1626374710,76,58.91,-28.783,32.0377,5.5,clear sky
340,mecca,100,SA,1626374535,23,90.68,21.4267,39.8261,5.73,overcast clouds
341,el alto,22,PE,1626374711,70,74.86,-4.2714,-81.2147,16.33,few clouds
342,warwick,20,US,1626374711,65,93.4,41.7001,-71.4162,12.66,few clouds
343,surt,0,LY,1626374712,80,80.37,31.2089,16.5887,12.24,clear sky
344,barnala,28,IN,1626374712,65,84.33,30.3833,75.55,7.99,scattered clouds
345,hambantota,75,LK,1626374713,100,77.34,6.1241,81.1185,2.3,broken clouds
346,shimoda,100,JP,1626374713,89,77.11,34.6667,138.95,6.22,overcast clouds
347,esmeraldas,0,BR,1626374714,31,79.84,-19.7625,-44.3139,6.11,clear sky
348,fergus falls,40,US,1626374714,48,83.16,46.283,-96.0776,5.99,scattered clouds
349,salinopolis,67,BR,1626374430,75,82.65,-0.6136,-47.3561,10.92,broken clouds
350,huntington,20,US,1626374604,57,90.37,38.4193,-82.4452,3.44,few clouds
351,preston,0,GB,1626374701,73,71.33,53.7667,-2.7167,6.91,clear sky
352,raha,64,IN,1626374715,94,76.64,26.2333,92.5167,2.06,broken clouds
353,litovko,100,RU,1626374716,97,72.19,49.2361,135.1742,5.39,overcast clouds
354,ternate,92,ID,1626374716,82,80.19,0.8,127.4,4.34,overcast clouds
355,constitucion,0,CL,1626374432,66,56.71,-35.3333,-72.4167,14.09,clear sky
356,chapais,100,CA,1626374717,95,56.98,49.7834,-74.8492,5.88,overcast clouds
357,minab,100,IR,1626374717,52,92.7,27.1467,57.0801,9.48,overcast clouds
358,daru,100,PG,1626374718,93,77.92,-9.0763,143.2092,8.93,overcast clouds
359,krasnyy chikoy,100,RU,1626374718,87,58.73,50.3643,108.7512,2.3,overcast clouds
360,lakselv,75,NO,1626374718,94,58.82,70.0513,24.9718,12.66,broken clouds
361,boz,100,FR,1626374719,98,66.85,46.4071,4.9109,5.32,overcast clouds
362,nosy varika,14,MG,1626374719,85,65.82,-20.5833,48.5333,5.21,few clouds
363,sakata,0,JP,1626374720,88,72.5,38.9167,139.855,5.95,clear sky
364,batagay-alyta,0,RU,1626374720,63,48.43,67.8006,130.4114,4.18,clear sky
365,hasaki,99,JP,1626374720,92,75.6,35.7333,140.8333,5.14,overcast clouds
366,itacarambi,0,BR,1626374721,24,87.64,-15.1022,-44.0919,3.6,clear sky
367,krasnoselkup,100,RU,1626374721,53,57.78,65.7,82.4667,15.12,overcast clouds
368,high level,90,CA,1626374720,88,55.51,58.5169,-117.136,4.61,light rain
369,brae,0,GB,1626374722,79,55.31,60.3964,-1.353,11.03,clear sky
370,linfen,62,CN,1626374722,66,82.18,36.0889,111.5189,4.18,broken clouds
371,namibe,1,AO,1626374723,86,66.18,-15.1961,12.1522,2.44,clear sky
372,saint-joseph,28,RE,1626374584,76,70.18,-21.3667,55.6167,13.06,scattered clouds
373,elat,0,IL,1626374723,29,102.04,29.5581,34.9482,13.8,clear sky
374,kaliua,100,TZ,1626374724,43,74.17,-5.0606,31.7936,2.68,overcast clouds
375,ouegoa,100,NC,1626374724,88,71.29,-20.35,164.4333,9.31,overcast clouds
376,derzhavinsk,100,KZ,1626374724,79,54.1,51.1,66.3167,15.1,overcast clouds
377,baoning,40,CN,1626374725,89,78.66,25.3378,110.026,2.24,scattered clouds
378,eureka,78,US,1626374725,87,55.92,40.8021,-124.1637,3.0,broken clouds
379,kanniyakumari,100,IN,1626374726,72,80.8,8.0833,77.5667,19.35,overcast clouds
380,udankudi,100,IN,1626374726,62,83.37,8.4333,78.0167,9.95,overcast clouds
381,muravlenko,100,RU,1626374726,90,50.07,63.7898,74.523,17.96,light rain
382,katsuura,100,JP,1626374727,93,80.11,35.1333,140.3,3.91,overcast clouds
383,makakilo city,1,US,1626374727,64,79.12,21.3469,-158.0858,6.91,clear sky
384,khandyga,100,RU,1626374728,63,65.48,62.6667,135.6,3.6,overcast clouds
385,mitsamiouli,2,KM,1626374728,68,77.86,-11.3847,43.2844,8.59,clear sky
386,kyren,97,RU,1626374729,75,63.36,51.6828,102.1408,2.68,overcast clouds
387,krasnovishersk,52,RU,1626374729,90,58.57,60.4078,57.082,0.56,broken clouds
388,byron bay,19,AU,1626374702,90,69.69,-28.65,153.6167,13.22,few clouds
389,winsum,62,NL,1626374730,78,66.99,53.33,6.5208,18.81,broken clouds
390,serebryansk,83,KZ,1626374730,82,51.35,49.6925,83.2892,5.01,broken clouds
391,zelenoborskiy,100,RU,1626374730,75,58.01,66.845,32.3622,6.62,overcast clouds
392,kirkuk,0,IQ,1626374731,16,93.92,35.4681,44.3922,11.83,clear sky
393,veraval,70,IN,1626374731,84,82.53,20.9,70.3667,10.47,broken clouds
394,kontagora,100,NG,1626374732,78,78.33,10.3999,5.4695,3.87,overcast clouds
395,freeport,1,US,1626374627,59,93.31,40.6576,-73.5832,1.99,clear sky
396,paamiut,41,GL,1626374732,92,42.55,61.994,-49.6678,14.65,scattered clouds
397,rovaniemi,100,FI,1626374733,68,69.21,66.5,25.7167,10.36,overcast clouds
398,berdigestyakh,100,RU,1626374733,82,54.57,62.0989,126.6992,6.26,light rain
399,bay roberts,63,CA,1626374733,45,76.66,47.5999,-53.2648,15.39,broken clouds
400,pangnirtung,20,CA,1626374734,87,50.0,66.1451,-65.7125,11.5,few clouds
401,koszalin,22,PL,1626374734,85,70.09,54.1944,16.1722,5.46,few clouds
402,winnemucca,75,US,1626374735,9,89.65,40.973,-117.7357,8.05,haze
403,zaoyang,100,CN,1626374735,96,77.29,32.1272,112.7542,1.57,light rain
404,san cristobal,92,VE,1626374735,43,83.97,7.7669,-72.225,8.48,overcast clouds
405,lashio,100,MM,1626374736,99,68.56,22.9333,97.75,0.74,light rain
406,luancheng,99,CN,1626374736,75,80.76,37.8792,114.6517,6.2,overcast clouds
407,saint george,8,US,1626374461,44,90.54,37.1041,-113.5841,1.01,clear sky
408,gilgit,8,PK,1626374669,43,83.26,35.9221,74.3087,3.2,clear sky
409,sisimiut,18,GL,1626374737,61,52.34,66.9395,-53.6735,8.57,few clouds
410,kenora,40,CA,1626374737,34,79.99,49.8167,-94.4337,12.66,smoke
411,dakar,40,SN,1626374579,65,84.33,14.6937,-17.4441,13.8,scattered clouds
412,yuancheng,45,CN,1626374738,80,69.87,36.652,107.7896,3.42,scattered clouds
413,uhlove,0,UA,1626374738,56,78.57,44.8215,33.6045,5.99,clear sky
414,sandwick,20,GB,1626374739,88,55.22,60.0,-1.25,6.91,few clouds
415,price,1,US,1626374719,41,89.73,39.5994,-110.8107,3.44,clear sky
416,baijiantan,100,CN,1626374739,33,85.75,45.6333,85.1833,1.88,overcast clouds
417,noumea,37,NC,1626374479,99,69.01,-22.2763,166.4572,1.9,scattered clouds
418,palmer,75,US,1626374740,55,90.63,42.1584,-72.3287,3.0,broken clouds
419,itoman,40,JP,1626374740,81,82.42,26.1247,127.6694,11.5,scattered clouds
420,jatai,0,BR,1626374741,18,85.87,-17.8814,-51.7144,6.69,clear sky
421,kortkeros,100,RU,1626374741,74,68.0,61.8106,51.5806,4.52,overcast clouds
422,omboue,15,GA,1626374742,79,72.18,-1.5746,9.2618,10.76,few clouds
423,solano,1,US,1626374539,56,82.53,38.2333,-121.9511,21.85,clear sky
424,hervey bay,0,AU,1626374742,86,71.04,-25.2986,152.8535,18.86,clear sky
425,ballina,39,AU,1626374743,73,69.76,-28.8667,153.5667,10.36,scattered clouds
426,raymondville,90,US,1626374743,44,93.38,26.4815,-97.7831,15.19,overcast clouds
427,rio gallegos,0,AR,1626374743,87,39.25,-51.6226,-69.2181,2.3,clear sky
428,flin flon,75,CA,1626374744,42,82.24,54.7682,-101.865,9.22,haze
429,schroeder,100,BR,1626374744,64,73.78,-26.4125,-49.0731,3.24,overcast clouds
430,saint-augustin,100,CA,1626374745,86,64.65,51.226,-58.6502,16.89,overcast clouds
431,santa lucia,20,ES,1626374745,73,65.77,27.9117,-15.5407,31.07,few clouds
432,gat,0,IL,1626374745,100,82.4,31.61,34.7642,2.68,clear sky
433,beyneu,0,KZ,1626374746,20,84.83,45.3167,55.2,7.67,clear sky
434,beloha,32,MG,1626374746,80,64.71,-25.1667,45.05,13.44,scattered clouds
435,fairbanks,1,US,1626374731,75,69.49,64.8378,-147.7164,1.01,clear sky
436,shirokiy,100,RU,1626374747,97,72.21,49.758,129.523,6.33,moderate rain
437,kalutara,99,LK,1626374747,88,82.49,6.5831,79.9593,5.61,overcast clouds
438,jiaocheng,99,CN,1626374748,97,75.85,24.6774,116.1389,1.5,overcast clouds
439,sao joao da barra,9,BR,1626374640,73,86.09,-21.6403,-41.0511,15.7,clear sky
440,bathsheba,40,BB,1626374748,70,86.61,13.2167,-59.5167,20.71,scattered clouds
441,kudahuvadhoo,14,MV,1626374749,73,82.65,2.6708,72.8944,6.87,few clouds
442,auki,95,SB,1626374749,88,77.54,-8.7676,160.7034,5.64,overcast clouds
443,nianzishan,100,CN,1626374750,95,73.13,47.5167,122.8833,2.1,overcast clouds
444,shestakovo,1,RU,1626374750,79,61.03,56.4915,103.96,2.53,clear sky
445,nur,97,PL,1626374750,92,74.79,52.6683,22.3221,9.13,overcast clouds
446,arlit,61,NE,1626374543,8,101.23,18.7369,7.3853,14.79,broken clouds
447,neiafu,75,TO,1626374751,94,74.08,-18.65,-173.9833,8.05,light intensity shower rain
448,pevek,100,RU,1626374751,94,36.81,69.7008,170.3133,14.03,overcast clouds
449,port blair,100,IN,1626374752,77,81.57,11.6667,92.75,11.88,overcast clouds
450,walvis bay,0,NA,1626374752,28,62.1,-22.9575,14.5053,13.13,clear sky
451,avera,100,US,1626374753,52,93.7,33.194,-82.5271,6.62,overcast clouds
452,atasu,3,KZ,1626374753,52,55.8,48.6814,71.6433,8.05,clear sky
453,puerto gaitan,20,CO,1626374508,54,86.81,4.3133,-72.0816,4.74,few clouds
454,hami,0,CN,1626374754,31,85.03,42.8,93.45,3.94,clear sky
455,ancud,100,CL,1626374754,92,47.73,-41.8697,-73.8203,17.72,light rain
456,sao jose dos campos,0,BR,1626374692,22,84.27,-23.1794,-45.8869,8.05,clear sky
